MC,M   ,"public class Test{
public static void main(String[] args) {
boolean[][] x = new boolean[3][];
x[0] = new boolean[1]; x[1] = new boolean[2];
x[2] = new boolean[3];
System.out.println(""""x[2][2] is "" + x[2][2]);
}
}","A) The program, has a compile error, because, new boolean[3][] is wrong.",Correct,"B)The program has a runtime, error because x[2][2] is null.    ",Incorrect,"C)The program runs and displays x[2][2] is    ""A. int [] myList = {""1"", ""2"", ""3""};""  .",Incorrect,D) The program runs and displays x[2][2] is false.,Incorrect
MC,M,"Given the following code segment:
public void validatePrime() {
long p = 99; // 'prime number' candidate
double primeSquareRoot = Math.sqrt(p);
boolean isPrime = true;
for (long j = 2; j <= (long)primeSquareRoot; j++) {
if (p % j == 0) {
// Print divisors
System.out.println(j + ""x"" + p / j);
isPrime = false;
}
}
System.out.println(""Prime number: "" + isPrime);
}
Which of the following is true?",A) The code will not compile due to a syntactical error somewhere in the code.,Incorrect,B) The code will not compile since the expression (p % j == 0) should be written as,Incorrect,"C) Divisors will be printed to standard out (for example, 2x33, and so on), along with
""Prime number: false""as the final output.",Correct,"D) Divisors will be printed to standard out (for example, 2x33, and so on), along with
""Prime number: 0"" as the final output.",Incorrect
MC,M,"Assume that x and y are int variables with x = 5, y = 3, and a and d are char variables with a = 'a' and d = 'A',
and examine the following conditions:
Condition 1: (x < y && x > 0)
Condition 2: (a != d || x != 5)
Condition 3: !(true && false)
Condition 4: (x > y || a == 'A' || d != 'A')",A) All 4 Conditions are false,Incorrect,B) All 4 Conditions are true,Incorrect,"C) Conditions 2, 3 and 4 are all true, Condition 1 is not",Correct,D) Only Condition 2 is true,Incorrect
MC,M,"Suppose int i = 5, which of the following can be used as an index for array double[] t = new double[100]?",A) i + 10.0,Incorrect,B) Math.random() * 100,Incorrect,C) i * 5.5,Incorrect,D) (int)(Math.random() * 100)),Correct
MC,M,"Given:
public class Redwood extends Tree {
public static void main(String[] args) {
new Redwood().go();
}
void go() {
go2(new Tree(), new Redwood());
go2((Redwood) new Tree(), new Redwood());
}
void go2(Tree t1, Redwood r1) {
Redwood r2 = (Redwood)t1;
Tree t2 = (Tree)r1;
}
}
class Tree { }
What is the result?",A) An exception is thrown at runtime,Correct,B) The code compiles and runs with no output,Incorrect,C) Compilation fails with an error at line 9,Incorrect,D) Compilation fails with an error at line 12,Incorrect
MC,M,"switch (x)
{
case 3 : x += 1;
case 4 : x += 2;
case 5 : x += 3;
case 6 : x++;
case 7 : x += 2;
case 8 : x--;
case 9 : x++
}
If x is currently equal to 5, what will the value of x be after the switch statement executes?",A)5,Incorrect,B)6,Incorrect,C)8,Incorrect,D)11,Correct
MC,H,"What is the output of the print method?
int z, x = 5, y = -10, a = 4, b = 2;
System.out.print(x++ - --y * b / a + "" Mangoes"");",A) 10 Mangoes,Correct,B) Compiler Error,Incorrect,C) 5 Mangoes,Incorrect,D) 8 Mangoes,Incorrect
MC,M,"Given:
class Alpha {
static String s = "" "";
protected Alpha() { s += ""alpha ""; }
}
class SubAlpha extends Alpha {
private SubAlpha() { s += ""sub ""; }
}
public class SubSubAlpha extends Alpha {
private SubSubAlpha() { s += ""subsub ""; }
public static void main(String[] args) {
new SubSubAlpha();
System.out.println(s);
}
}

What is the result?",A) subsub,Incorrect,B) sub subsub,Incorrect,C) alpha subsub,Correct,D) alpha sub subsub,Incorrect
MC,M,"Given:
class Mixer {
Mixer m1;
Mixer() { }
Mixer(Mixer m) { m1 = m; }
public static void main(String[] args) {
Mixer m2 = new Mixer();
Mixer m3 = new Mixer(m2); m3.go();
Mixer m4 = m3.m1; m4.go();
Mixer m5 = m2.m1; m5.go();
}
void go() { System.out.print(""hi ""); }
}
What is the result?",A) hi,Incorrect,B) hi hi,Incorrect,C) Does not compile,Incorrect,"D) hi hi, followed by exception",Correct
MC,M,"To check if a string s contains the suffix ""Java"", you may write ________.",A) if (s == Java)   ,Incorrect,"B) if (s.substring(s.length() - 3).equals(""Java""))",Incorrect,"C) if (s.substring(s.length() - 5).equals(""Java""))",Incorrect,"D) if (s.charAt(s.length() - 4) == 'J' && s.charAt(s.length() - 3) == 'a' && s.charAt(s.length() - 2) == 'v' &&
s.charAt(s.length() - 1) == 'a')",Correct
